feature,function,category,template_ref,sections_ref,app_ref,data_ref,estimate_lines
admin,-,Reusable,templates/admin,-,-,-,6909
admin,global notification,Reusable,templates/admin/global-notification.twig,-,-,-,50
admin,mass pm,Reusable,templates/admin/mass-pm.twig,-,-,-,33
admin,site option,Reusable,templates/admin/site-option.twig,-,-,-,59
admin,site info,Reusable,templates/admin/site-info.twig,-,-,-,182
admin,forum management,Reusable,templates/admin/forum-management.twig,-,-,-,107
admin,user create,Reusable,templates/admin/user-create.twig,-,-,-,31
admin,ip search,Reusable,templates/admin/ip-search.twig,-,-,-,157
admin,privilege edit,Reusable,templates/admin/privilege-edit.twig,-,-,-,72
admin,registration,Reusable,templates/admin/registration.twig,-,-,-,137
admin,payment,Reusable,templates/admin/payment.twig,-,-,-,120
applicant,-,Reusable,templates/applicant,-,app/Applicant.php,applicant,469
applicant,apply,Reusable,templates/applicant/apply.twig,-,app/Applicant.php,applicant,214
applicant,admin,Reusable,templates/applicant/admin.twig,-,app/Applicant.php,applicant,185
applicant,role,Reusable,templates/applicant/role.twig,-,app/Applicant.php,applicant,193
applicant,view,Reusable,templates/applicant/view.twig,-,app/Applicant.php,applicant,277
artist,-,Usable,templates/artist,sections/artist,app/Artist.php;app/Artist,artists_group,2780
artist,edit,Usable,templates/artist/edit.twig,sections/artist/edit.php,app/Artist.php;app/Artist,artists_group,1588
artist,similar,Usable,templates/artist/similar.twig,-,app/Artist.php;app/Artist,artists_group,1381
artist,merge,Usable,templates/artist/merge.twig,-,app/Artist.php;app/Artist,artists_group,1362
better,-,Reusable,templates/better,sections/better,app/Better,-,763
better,search,Reusable,templates/better/search.twig,-,app/Better,-,504
better,better,Reusable,templates/better/better.twig,sections/better/better.php,app/Better,-,598
blog,-,Usable,templates/blog,sections/blog,app/Blog.php,blog,355
blog,editor,Usable,templates/blog/editor.twig,-,app/Blog.php,blog,192
bonus,-,Reusable,templates/bonus,sections/bonus,-,-,486
bonus,store,Reusable,templates/bonus/store.twig,sections/bonus/store.php,-,-,108
bonus,bonus pool,Reusable,templates/bonus/bonus-pool.twig,-,-,-,31
bookmark,-,Reusable,templates/bookmark,sections/bookmarks,-,-,608
bookmark,artist,Reusable,templates/bookmark/artist.twig,-,-,-,55
chat,-,Redundant,templates/chat,sections/chat,-,-,166
chat,index,Redundant,templates/chat/index.twig,sections/chat/index.php,-,-,44
chat,webirc,Redundant,templates/chat/webirc.twig,sections/chat/webirc.php,-,-,106
collage,-,Redundant,templates/collage,sections/collages,app/Collage.php;app/Collage,collages,3136
collage,edit,Redundant,templates/collage/edit.twig,sections/collages/edit.php,app/Collage.php;app/Collage,collages,1208
collage,browse,Redundant,templates/collage/browse.twig,sections/collages/browse.php,app/Collage.php;app/Collage,collages,1313
collage,new,Redundant,templates/collage/new.twig,sections/collages/new.php,app/Collage.php;app/Collage,collages,1169
comment,-,Usable,templates/comment,sections/comments,app/Comment,comments,982
comment,warn,Usable,templates/comment/warn.twig,sections/comments/warn.php,app/Comment,comments,442
comment,thread,Usable,templates/comment/thread.twig,-,app/Comment,comments,458
contest,-,Reusable,templates/contest,sections/contest,app/Contest.php;app/Contest,contest,1267
contest,list,Reusable,templates/contest/list.twig,-,app/Contest.php;app/Contest,contest,828
contest,admin,Reusable,templates/contest/admin.twig,sections/contest/admin.php,app/Contest.php;app/Contest,contest,940
contest,leaderboard,Reusable,templates/contest/leaderboard.twig,sections/contest/leaderboard.php,app/Contest.php;app/Contest,contest,894
debug,-,Redundant,templates/debug,-,app/Debug.php,-,740
donation,-,Usable,templates/donation,-,-,-,428
donation,history,Usable,templates/donation/history.twig,-,-,-,55
donation,index,Usable,templates/donation/index.twig,-,-,-,105
donation,admin panel,Usable,templates/donation/admin-panel.twig,-,-,-,54
donation,donation pm,Usable,templates/donation/donation-pm.twig,-,-,-,13
donation,stats,Usable,templates/donation/stats.twig,-,-,-,20
